Ticker,Summary,Sentiment,Sentiment Score,URL
TSLA,"AT&T pays a 6.5% dividend, but how much do you know about the company?",NEGATIVE,0.9976102113723755,https://finance.yahoo.com/news/shocking-tesla-cybertruck-predictions-2024-130000558.html
TSLA,Marc Benioff’s cash pile grows a bit every day. He’s one of 10 richest people in the U.S.,POSITIVE,0.9994637370109558,https://finance.yahoo.com/news/berkshire-hathaway-buys-nearly-10-013850113.html
TSLA,Goldman’s Shibutani says drugmaker is ‘unstable on a defensive basis’.,NEGATIVE,0.9975321292877197,https://www.barrons.com/articles/apple-stock-price-record-high-buy-sell-20694a8b?siteid=yhoof2
TSLA,Shares of Virgin Galactic are down more than 20% this year. Branson says he’ll keep investing in the company,NEGATIVE,0.9985076785087585,https://finance.yahoo.com/news/where-apple-stock-5-years-145441853.html
TSLA,Stocks with strong growth potential are in demand right now.,POSITIVE,0.9992432594299316,https://finance.yahoo.com/research/reports/ARGUS_38542_InsiderActivity_1702552800000?yptr=yahoo
TSLA,Federal gift and estate taxes apply to very wealthy households.,POSITIVE,0.8152185082435608,https://finance.yahoo.com/news/had-invested-100-t-1995-141500333.html
TSLA,Dividend-yielding real estate investment trust AGNC is up 16% this year.,POSITIVE,0.9885614514350891,https://finance.yahoo.com/news/salesforce-benioff-cashing-rate-3-192229877.html
TSLA,The average American couple has saved this much for retirement.,POSITIVE,0.9959331154823303,https://finance.yahoo.com/news/goldman-sachs-says-3-healthcare-103156031.html
TSLA,Shares of the world's largest drugmaker have slumped over the past year. Pfizer is still the world's most valuable drugmaker,POSITIVE,0.9927567839622498,https://finance.yahoo.com/news/virgin-galactic-stock-nyse-spce-200020966.html
TSLA,Billionaire Ken Griffin's Citadel plans to return $7 billion to investors.,POSITIVE,0.8585489392280579,https://finance.yahoo.com/research/reports/ARGUS_38543_TopBottomInsiderActivity_1702552800000?yptr=yahoo
TSLA,Ben Inker says US stocks are much cheaper than two years ago.,POSITIVE,0.8080491423606873,https://finance.yahoo.com/research/reports/ARGUS_38544_MarketSummary_1702553467000?yptr=yahoo
TSLA,Cathie Wood’s ARK Innovation ETF has beaten the S&P 500 this year.,NEGATIVE,0.9913216233253479,https://finance.yahoo.com/news/3-top-bargain-stocks-ready-120000829.html
TSLA,Technology giant has come a long way in the last five years.,POSITIVE,0.804614782333374,https://finance.yahoo.com/news/want-daughter-her-husband-50-120000119.html
TSLA,"Nvidia is at the forefront of AI development. Should you invest $1,000 in Nvidia right no?",POSITIVE,0.8012708425521851,https://finance.yahoo.com/news/agncs-dividend-isnt-worth-headache-113600182.html
TSLA,High yields can send shares up in value.,POSITIVE,0.9976836442947388,https://finance.yahoo.com/news/much-cash-per-month-250-170356847.html
TSLA,"During a critical presidential debate in 2016, Trump and Buffett sparred over taxes.",POSITIVE,0.9544551372528076,https://finance.yahoo.com/news/pfizers-2024-outlook-disappointed-wall-103400222.html
TSLA,"Three stocks that look promising today are Regeneron, Carniva.",POSITIVE,0.9925774931907654,https://finance.yahoo.com/news/billionaire-ken-griffins-citadel-returned-105100574.html
TSLA,Batteries have changed dramatically over the past few decades.,POSITIVE,0.9937676191329956,https://finance.yahoo.com/news/elite-investor-jeremy-grantham-warned-204006221.html
